iter	Logloss
0	0.6164202136
1	0.5745488014
2	0.5331227235
3	0.5092077823
4	0.4897450871
5	0.4736453575
6	0.4639005363
7	0.4520444864
8	0.4446600677
9	0.4373711975
10	0.433119358
11	0.4293104931
12	0.4262939447
13	0.4233074607
14	0.4214261266
15	0.4195754142
16	0.418364819
17	0.416993087
18	0.4157726486
19	0.4151143048
20	0.4145319299
21	0.4139379972
22	0.4135466038
23	0.4123781699
24	0.412100886
25	0.4117745729
26	0.41159224
27	0.4109314606
28	0.4104514879
29	0.4102659327
30	0.4101027623
31	0.4099665075
32	0.4098088445
33	0.4094836467
34	0.4093565204
35	0.4092045125
36	0.4090604807
37	0.4089412256
38	0.4088441952
39	0.4087814436
40	0.4086661902
41	0.4085350078
42	0.4083643542
43	0.408253004
44	0.408132704
45	0.4080516048
46	0.4079409338
47	0.4078327576
48	0.4077156883
49	0.4075870066
50	0.407501096
51	0.4073909227
52	0.4072966054
53	0.4072156386
54	0.4071182189
55	0.4070223251
56	0.406901272
57	0.4068321337
58	0.4067364291
59	0.406657832
60	0.4065582403
61	0.4064692282
62	0.406352192
63	0.4062560451
64	0.4061543409
65	0.4060793114
66	0.4060059676
67	0.4059204412
68	0.4058149837
69	0.4057220512
70	0.4056203658
71	0.4055422319
72	0.4054551294
73	0.4053513329
74	0.4052209068
75	0.4051344094
76	0.4050486019
77	0.4049777762
78	0.4048993188
79	0.4048378251
80	0.4047403699
81	0.4046402317
82	0.4045555035
83	0.4044552498
84	0.4043545828
85	0.4042767884
86	0.4041815726
87	0.404085393
88	0.4039748797
89	0.4038742194
90	0.4037578795
91	0.4035793165
92	0.4034638488
93	0.4033629076
94	0.4032695008
95	0.4031548907
96	0.4030322769
97	0.4027817537
98	0.4026751337
99	0.402549305
100	0.4024369094
101	0.4023444275
102	0.4022696953
103	0.4022013002
104	0.4021459662
105	0.4020834803
106	0.4019683999
107	0.40186963
108	0.4017836328
109	0.4017192194
110	0.4016436678
111	0.4015131091
112	0.4013641517
113	0.401298173
114	0.4011588179
115	0.4010575244
116	0.4009891679
117	0.4008770869
118	0.4007400215
119	0.4006163517
120	0.400484928
121	0.4004383737
122	0.4003073308
123	0.400233502
124	0.4000869338
125	0.4000010975
126	0.3997696097
127	0.3997087871
128	0.3996106032
129	0.3994865658
130	0.3993321104
131	0.3991720225
132	0.3990622955
133	0.3988238155
134	0.3987743476
135	0.398640168
136	0.3985154645
137	0.3984011567
138	0.3982696061
139	0.3980974512
140	0.3979490384
141	0.3978261857
142	0.3977068092
143	0.3976039064
144	0.3974718639
145	0.3973625231
146	0.3972664133
147	0.3971445249
148	0.3970236545
149	0.3969062499
150	0.3967790644
151	0.3966314842
152	0.396524412
153	0.3963867579
154	0.3962524191
155	0.3961332597
156	0.3960299805
157	0.3959222607
158	0.3957767872
159	0.3956463749
160	0.3955462658
161	0.3953956406
162	0.3952648943
163	0.3950672165
164	0.394927796
165	0.3947921482
166	0.3946567664
167	0.3945401853
168	0.3944460177
169	0.3943056111
170	0.3941663611
171	0.3940366113
172	0.3938905164
173	0.3937801833
174	0.3936902587
175	0.3935727206
176	0.3934755167
177	0.393317225
178	0.3931769901
179	0.3930407055
180	0.3929490524
181	0.3928365037
182	0.3927556989
183	0.392632262
184	0.3924970015
185	0.3923594613
186	0.3922688095
187	0.3921306845
188	0.3920213762
189	0.391917661
190	0.3918024331
191	0.3916846772
192	0.3915134929
193	0.3913903789
194	0.3912851333
195	0.391200091
196	0.3911059379
197	0.3910571425
198	0.3909609741
199	0.3908613771
200	0.390738222
201	0.390629518
202	0.3904935799
203	0.3903910428
204	0.390274429
205	0.3901444809
206	0.3900308762
207	0.3899149272
208	0.3897938914
209	0.3896815841
210	0.389564178
211	0.3894133367
212	0.3893136653
213	0.3891910578
214	0.3891077746
215	0.389022972
216	0.388939817
217	0.3888052188
218	0.3886885094
219	0.3885909245
220	0.3884592158
221	0.3883601841
222	0.3882471281
223	0.3881245105
224	0.3880473837
225	0.3879181774
226	0.3877616111
227	0.3876580158
228	0.3875377067
229	0.3874234149
230	0.3873477519
231	0.3872118351
232	0.3871051604
233	0.386971524
234	0.3868566731
235	0.3867144255
236	0.386603835
237	0.3865055892
238	0.3864300901
239	0.3862791212
240	0.3861665152
241	0.386071496
242	0.385974345
243	0.3858884243
244	0.385794212
245	0.3856751177
246	0.3855728197
247	0.3854879538
248	0.3853813858
249	0.3852956855
250	0.38517488
251	0.3850390729
252	0.3849336671
253	0.3848464456
254	0.3847100177
255	0.3846217733
256	0.3845223441
257	0.384412211
258	0.3843266252
259	0.3841887107
260	0.3840374061
261	0.3839333536
262	0.3837924097
263	0.3836822973
264	0.3835869323
265	0.3834578442
266	0.3833483455
267	0.3832348533
268	0.3831531637
269	0.38305808
270	0.3829073027
271	0.3828427622
272	0.3827094535
273	0.3826136995
274	0.38249368
275	0.3823802172
276	0.382310906
277	0.3822157577
278	0.3821160499
279	0.3820344034
280	0.3819056535
281	0.3818060512
282	0.3816500541
283	0.3815431911
284	0.3814668407
285	0.3813446885
286	0.3812588461
287	0.3811550184
288	0.3810548495
289	0.3809201198
290	0.3807950317
291	0.3806936609
292	0.3805964761
293	0.3805170846
294	0.3803922161
295	0.3802840865
296	0.3801794565
297	0.3800995646
298	0.3799990203
299	0.3798890643
