iter	Logloss
0	0.6427598036
1	0.6081985445
2	0.573122128
3	0.5509306027
4	0.5276718307
5	0.5089060771
6	0.4947928394
7	0.4819009027
8	0.4723622201
9	0.4636130039
10	0.4566108467
11	0.4512619624
12	0.4467935043
13	0.4429725367
14	0.4392186949
15	0.4347824164
16	0.4312760761
17	0.427635554
18	0.42549868
19	0.4226879484
20	0.4206431413
21	0.4181580762
22	0.416888679
23	0.4156598133
24	0.4137958431
25	0.412770992
26	0.4117147306
27	0.4111292915
28	0.4098525165
29	0.4092992086
30	0.4085011638
31	0.4081537217
32	0.4075805452
33	0.4072870742
34	0.4067481745
35	0.406314575
36	0.4057717208
37	0.4055571437
38	0.4053827678
39	0.4046995315
40	0.4045229399
41	0.4043642559
42	0.4039767218
43	0.4037238994
44	0.4034872183
45	0.4033120653
46	0.4030249429
47	0.40293396
48	0.402719161
49	0.4024862875
50	0.4022373089
51	0.4021563965
52	0.4020853703
53	0.4019626353
54	0.4018771499
55	0.4015549518
56	0.4015037496
57	0.4014241975
58	0.4013443668
59	0.4012020513
60	0.401121425
61	0.4009709498
62	0.4009024167
63	0.4007693546
64	0.4005109194
65	0.4004280451
66	0.4002930791
67	0.4002257004
68	0.4001185219
69	0.4000107842
70	0.3999181144
71	0.3998399682
72	0.3997827899
73	0.399732287
74	0.399647531
75	0.3995672187
76	0.3994786713
77	0.3994231
78	0.3993041497
79	0.3992305456
80	0.3991438125
81	0.3990777648
82	0.3989916386
83	0.3988484678
84	0.3987730796
85	0.3987209909
86	0.3986639513
87	0.3984765675
88	0.398419655
89	0.3983741783
90	0.3982870336
91	0.3982564713
92	0.3981771407
93	0.3981104777
94	0.3978706083
95	0.3977888227
96	0.3977141255
97	0.3976583893
98	0.397586649
99	0.3975012425
100	0.3974541757
101	0.3973749984
102	0.3973049387
103	0.3972230929
104	0.3971314566
105	0.3970490884
106	0.3969787787
107	0.3969238355
108	0.3968706216
109	0.396805614
110	0.396745068
111	0.3966853113
112	0.3966461857
113	0.3965690956
114	0.3965048409
115	0.3964535252
116	0.3963964601
117	0.3963568511
118	0.3962767544
119	0.3962270932
120	0.3961671563
121	0.396107701
122	0.396059893
123	0.3959964328
124	0.395896928
125	0.395801807
126	0.3957412493
127	0.3956805627
128	0.3955746637
129	0.3955033313
130	0.3954260296
131	0.3953614401
132	0.3952913559
133	0.3951955648
134	0.3951326171
135	0.3950939579
136	0.3950198675
137	0.3949632387
138	0.3948893092
139	0.3948207747
140	0.3947515153
141	0.3946902087
142	0.3946316029
143	0.3945790373
144	0.3945119198
145	0.3944416405
146	0.394371534
147	0.3943082171
148	0.3942310864
149	0.394172443
150	0.3941130078
151	0.3940498974
152	0.3940041526
153	0.3939319634
154	0.3938822624
155	0.3938006828
156	0.3937258396
157	0.3936643498
158	0.3936019834
159	0.3935491908
160	0.3934853182
161	0.3934120234
162	0.3933107446
163	0.3932522286
164	0.3931756163
165	0.3930999807
166	0.393025726
167	0.392943382
168	0.3928613116
169	0.3928038564
170	0.3926725178
171	0.3926157239
172	0.3925469209
173	0.3924945527
174	0.3924150146
175	0.3923525552
176	0.3922602225
177	0.3921236843
178	0.3920123406
179	0.3919644088
180	0.3918584246
181	0.3918065178
182	0.391742502
183	0.3916635868
184	0.3915855092
185	0.3915288062
186	0.391459798
187	0.3913828131
188	0.3913194645
189	0.3912201237
190	0.3911541097
191	0.3910956961
192	0.3909677279
193	0.3909064672
194	0.3908192346
195	0.3907499582
196	0.3906937623
197	0.3905641536
198	0.3904734583
199	0.3904002552
200	0.3903254514
201	0.3902509008
202	0.3901098527
203	0.3900483147
204	0.3899658682
205	0.3898712519
206	0.3898074096
207	0.3897429003
208	0.3896886302
209	0.3896148435
210	0.3895417056
211	0.3894495633
212	0.3893888597
213	0.3892931825
214	0.3891981173
215	0.3891344213
216	0.389069453
217	0.3889944101
218	0.3889012753
219	0.388818033
220	0.388746084
221	0.3886672415
222	0.3886250507
223	0.3885598544
224	0.388485033
225	0.3883706973
226	0.3882945862
227	0.3882204817
228	0.388142796
229	0.3880553093
230	0.3880095712
231	0.3879403766
232	0.3878204057
233	0.3877229666
234	0.3876389473
235	0.3875570281
236	0.3874806691
237	0.3874025152
238	0.3873195197
239	0.387238107
240	0.3871301345
241	0.3870501201
242	0.3869848761
243	0.3869109324
244	0.3868124253
245	0.3867239942
246	0.3866180896
247	0.386545029
248	0.386477556
249	0.3864062444
250	0.3863198215
251	0.3862426453
252	0.3861813046
253	0.3861112718
254	0.3860303055
255	0.385964581
256	0.3858738254
257	0.3857740939
258	0.3856893262
259	0.3856352052
260	0.3855605082
261	0.3854836089
262	0.385426209
263	0.3853509138
264	0.38527053
265	0.3852071722
266	0.3851561918
267	0.3850983219
268	0.385025135
269	0.3849469331
270	0.3848546556
271	0.3847979295
272	0.3847297734
273	0.3846493852
274	0.3845720869
275	0.3845078079
276	0.3844136067
277	0.3843238841
278	0.3842300201
279	0.3841043852
280	0.3840170061
281	0.3839334205
282	0.3838656661
283	0.3837669786
284	0.3837099303
285	0.3835936874
286	0.3835126252
287	0.3834628543
288	0.3833652971
289	0.383304972
290	0.3832116802
291	0.3831392811
292	0.3830619992
293	0.3829711503
294	0.382905113
295	0.3828167428
296	0.3827648477
297	0.3826801387
298	0.3826093317
299	0.3825311732
300	0.3824212753
301	0.3823581529
302	0.3822897432
303	0.3822191627
304	0.3821359531
305	0.3820461632
306	0.3819842569
307	0.3819033713
308	0.381835908
309	0.381758764
310	0.3816969492
311	0.3815923534
312	0.381496945
313	0.3814038899
314	0.3813259494
315	0.3812576544
316	0.3811830392
317	0.3810916672
318	0.381016091
319	0.3809134667
320	0.3808332686
321	0.3807716721
322	0.3806964415
323	0.3806321482
324	0.380553437
325	0.3804839767
326	0.3804242634
327	0.3803475512
328	0.3802757668
329	0.3802139359
330	0.3801299779
331	0.3800364821
332	0.3799737952
333	0.3799126261
334	0.3798341865
335	0.3797619398
336	0.379689076
337	0.3796093371
338	0.3795444871
339	0.3794642456
340	0.3794030584
341	0.3793719915
342	0.3792996911
343	0.3792150813
344	0.3791558456
345	0.3790644014
346	0.3789857528
347	0.3789119169
348	0.3788262649
349	0.3787669675
350	0.3787061176
351	0.3786592822
352	0.3785992343
353	0.3785121642
354	0.3784498036
355	0.3783879712
356	0.3782931597
357	0.3782107682
358	0.3781564035
359	0.3780929945
360	0.3780210698
361	0.377954036
362	0.3779055829
363	0.3778418461
364	0.3777523704
365	0.3776862346
366	0.3775882842
367	0.377501313
368	0.3774115627
369	0.3773409796
370	0.3772768796
371	0.3771698157
372	0.3770663201
373	0.3770118725
374	0.3769668499
375	0.3768933172
376	0.3768356607
377	0.3767483383
378	0.3766963064
379	0.3766197615
380	0.3765336196
381	0.3764765268
382	0.3763984774
383	0.3763484798
384	0.3763038379
385	0.3762400945
386	0.3761643991
387	0.376090173
388	0.3760347361
389	0.37596704
390	0.3759000271
391	0.3758098904
392	0.3757305734
393	0.3756600199
394	0.3756099457
395	0.3755297685
396	0.375460747
397	0.3753892477
398	0.3753074657
399	0.3752206346
400	0.3751576698
401	0.3750849259
402	0.3750280396
403	0.3749706431
404	0.3748741492
405	0.3748058641
406	0.3747477316
407	0.3746821383
408	0.3745840686
409	0.3745155359
410	0.3744602225
411	0.3743922275
412	0.3743239265
413	0.374235157
414	0.3741686591
415	0.3741189196
416	0.3740435318
417	0.3739627217
418	0.3739017724
419	0.3738121083
420	0.3737312974
421	0.3736585538
422	0.3736271161
423	0.3735563449
424	0.3734747321
425	0.3734016266
426	0.3733422054
427	0.3732962831
428	0.3732161303
429	0.3731663674
430	0.3731154095
431	0.3730740531
432	0.3730098787
433	0.3729142013
434	0.3728523248
435	0.372788114
436	0.3727102198
437	0.3726609792
438	0.3726013966
439	0.3725195065
440	0.3724444156
441	0.3723598293
442	0.3722877008
443	0.3722230879
444	0.3721603986
445	0.3720856318
446	0.3720119362
447	0.3719419018
448	0.3718812381
449	0.3718095869
450	0.371737521
451	0.3716711158
452	0.3715816832
453	0.3715163244
454	0.3714374611
455	0.371375429
456	0.3712992804
457	0.3712364913
458	0.3711538486
459	0.3710749782
460	0.3710002069
461	0.370954094
462	0.3708526505
463	0.3708034962
464	0.3707114301
465	0.3706306842
466	0.3705540111
467	0.3705019124
468	0.3704655121
469	0.370381369
470	0.3702955394
471	0.3702417773
472	0.3701905394
473	0.3701115347
474	0.37005175
475	0.3699877549
476	0.3699263865
477	0.3698523366
478	0.3697891305
479	0.3697249549
480	0.3696467873
481	0.3695667403
482	0.369503022
483	0.3694487619
484	0.3693963261
485	0.3693493843
486	0.3692992598
487	0.369249953
488	0.3691724625
489	0.3690878344
490	0.3690302313
491	0.368935324
492	0.3688766372
493	0.3688185249
494	0.3687583085
495	0.3686976521
496	0.3686080659
497	0.3685516477
498	0.3684815472
499	0.3684110486
500	0.3683565114
501	0.3682789992
502	0.3682255253
503	0.3681504415
504	0.3680821403
505	0.3680071917
506	0.367941024
507	0.3678728175
508	0.3677965511
509	0.3676981599
510	0.3676176505
511	0.3675365892
512	0.3674616078
513	0.367396574
514	0.367320761
515	0.3672338215
516	0.3671628162
517	0.3671135281
518	0.3670554284
519	0.3669833226
520	0.3669352619
521	0.3668423554
522	0.3667768319
523	0.3667100295
524	0.36663647
525	0.3665568241
526	0.3665363066
527	0.3664586953
528	0.3663870856
529	0.3663350607
530	0.366257399
531	0.3661839032
532	0.3661309545
533	0.3660719296
534	0.3660011782
535	0.3659550246
536	0.3659051186
537	0.3658395801
538	0.3657940656
539	0.3657549669
540	0.365710451
541	0.3656406401
542	0.3655863288
543	0.3655578119
544	0.3655102042
545	0.3654474937
546	0.3653843511
547	0.3652766178
548	0.3652163549
549	0.365153541
550	0.3651052111
551	0.3650688817
552	0.3649983462
553	0.3649515015
554	0.3648891431
555	0.3648216286
556	0.3647608831
557	0.3647026521
558	0.3646379674
559	0.3645808094
560	0.3645099889
561	0.3644603427
562	0.3643866452
563	0.3643250664
564	0.3642425388
565	0.3641756337
566	0.3641447414
567	0.3640777475
568	0.3640257964
569	0.3639730534
570	0.3639197663
571	0.3638765816
572	0.3638100799
573	0.3637634737
574	0.3637102723
575	0.3636460179
576	0.3635989635
577	0.3635369874
578	0.3634760735
579	0.3634119627
580	0.3633535064
581	0.3633018022
582	0.3632231327
583	0.3631304776
584	0.3630561023
585	0.3630210793
586	0.3629536915
587	0.3628128173
588	0.3627293836
589	0.3626573377
590	0.3626101224
591	0.3625533327
592	0.3625054459
593	0.3624500833
594	0.3623944551
595	0.3623442953
596	0.3622890044
597	0.3622218343
598	0.3621469748
599	0.362082145
600	0.3620290916
601	0.3619706561
602	0.3619271471
603	0.3618246495
604	0.3617558555
605	0.3616878544
606	0.3616334616
607	0.3615559848
608	0.3614798967
609	0.3614207849
610	0.3613528492
611	0.361287483
612	0.3612322339
613	0.3611583824
614	0.3610570937
615	0.3609978779
616	0.3609339622
617	0.3608709948
618	0.3607869218
619	0.3607213478
620	0.3606617771
621	0.3605896638
622	0.3605056423
623	0.360443004
624	0.3603809453
625	0.3603219329
626	0.3602465037
627	0.3601713159
628	0.3601068239
629	0.3600555884
630	0.3599938718
631	0.3599087827
632	0.3598199698
633	0.35975586
634	0.3596921511
635	0.3596397236
636	0.3595517429
637	0.3594671773
638	0.3593810501
639	0.3592981592
640	0.3592147233
641	0.3591498185
642	0.3590978324
643	0.3590257002
644	0.3589857705
645	0.3589185351
646	0.3588471293
647	0.3587856628
648	0.3587248623
649	0.3586372202
650	0.3585427592
651	0.3584946134
652	0.3584442731
653	0.3583778897
654	0.3582980683
655	0.358230194
656	0.3581627911
657	0.358085146
658	0.3579871594
659	0.3579469171
660	0.3579034105
661	0.3578484123
662	0.3577994871
663	0.3577317501
664	0.3576744928
665	0.3576079984
666	0.357563816
667	0.357501657
668	0.3574439254
669	0.3573937641
670	0.3573494438
671	0.357278646
672	0.35721969
673	0.3571369465
674	0.3570734461
675	0.3570180649
676	0.3569640689
677	0.3568887675
678	0.3568142445
679	0.3567551976
680	0.3566932598
681	0.3566257158
682	0.3565456658
683	0.3564588033
684	0.3563929867
685	0.3563348967
686	0.3562907568
687	0.3562181811
688	0.3561589252
689	0.3561006183
690	0.3560334509
691	0.3560006229
692	0.3559109883
693	0.3558599009
694	0.3557972593
695	0.3557487262
696	0.3556979469
697	0.3556590083
698	0.3555920292
699	0.3555290391
700	0.3554524647
701	0.3553958578
702	0.3553240615
703	0.3552315387
704	0.3551880804
705	0.3551366826
706	0.3550580061
707	0.3550083819
708	0.3549407714
709	0.3548783483
710	0.3548157437
711	0.3547578628
712	0.3547245942
713	0.3546486022
714	0.3545554742
715	0.3544891661
716	0.354404667
717	0.3543427114
718	0.3542652107
719	0.3542048978
720	0.3541430289
721	0.3540864367
722	0.3540290714
723	0.353980144
724	0.3539129455
725	0.3538757408
726	0.3538323144
727	0.3537664141
728	0.3537320493
729	0.3536613858
730	0.3536067969
731	0.3535499597
732	0.3534952169
733	0.3534531375
734	0.3533973791
735	0.3533181452
736	0.3532593154
737	0.353206357
738	0.3531408383
739	0.3531058208
740	0.3530371882
741	0.3529469048
742	0.3528816898
743	0.3528348694
744	0.3528014654
745	0.3527562023
746	0.3526832307
747	0.352629757
748	0.3525584704
749	0.3524779271
750	0.3524527034
751	0.3523966517
752	0.3523472362
753	0.3522736154
754	0.3522077678
755	0.3521532016
756	0.3521051679
757	0.3520445285
758	0.3519952581
759	0.3519251682
760	0.3518694466
761	0.3517906428
762	0.3517542367
763	0.3516937121
764	0.3516305958
765	0.3515110928
766	0.3514648046
767	0.3514029737
768	0.3513478526
769	0.3512803716
770	0.3512065644
771	0.3511326558
772	0.3510837658
773	0.3510259082
774	0.3509361995
775	0.3508824035
776	0.3508250174
777	0.3507751706
778	0.3507340299
779	0.3506283965
780	0.3505554626
781	0.3504931872
782	0.350439874
783	0.3503994943
784	0.3503499286
785	0.3502915611
786	0.3502506799
787	0.3501842931
788	0.3501273284
789	0.3500948794
790	0.3500718132
791	0.3500129323
792	0.3499695874
793	0.3499199075
794	0.3498715633
795	0.3498100313
796	0.3497436545
797	0.3497091544
798	0.3496808226
799	0.3496198855
800	0.3495626364
801	0.3495065807
802	0.3494290826
803	0.3493641622
804	0.3492858476
805	0.3492339596
806	0.3491805576
807	0.3491132441
808	0.3490603168
809	0.3490176998
810	0.3489758473
811	0.3489205444
812	0.3488455779
813	0.3487865759
814	0.3487207615
815	0.3486627058
816	0.3486017515
817	0.3485452301
818	0.3484988023
819	0.3484415259
820	0.3484129345
821	0.3483470518
822	0.3483121143
823	0.3482607959
824	0.34820571
825	0.3481443265
826	0.3480606039
827	0.3480035291
828	0.347936223
829	0.3478926018
830	0.3478366135
831	0.3477834492
832	0.3477415416
833	0.3476753227
834	0.3475877524
835	0.3475270894
836	0.3474587709
837	0.3474094485
838	0.347365465
839	0.347305423
840	0.347262138
841	0.3472109226
842	0.347165802
843	0.3471045196
844	0.347036833
845	0.3469704571
846	0.3469008623
847	0.3468666525
848	0.3467983207
849	0.3467546503
850	0.3466934968
851	0.3466357062
852	0.3465634196
853	0.3464884541
854	0.3464218175
855	0.3463362887
856	0.3462804727
857	0.3462534389
858	0.3461827176
859	0.3461233541
860	0.346081121
861	0.3460152565
862	0.3459455582
863	0.3458766448
864	0.3458032613
865	0.3457516268
866	0.3456980686
867	0.3456519142
868	0.3455777435
869	0.3455216926
870	0.3454758105
871	0.3453985722
872	0.3453658831
873	0.3453000589
874	0.3452345349
875	0.3451594093
876	0.3450888874
877	0.3450318884
878	0.3449629173
879	0.3449156501
880	0.3448381577
881	0.3448087195
882	0.3447475678
883	0.3446925627
884	0.3446330837
885	0.3446056326
886	0.3445699887
887	0.3445303805
888	0.3444531321
889	0.3443833265
890	0.3443479125
891	0.3443049837
892	0.3442427334
893	0.3441795095
894	0.3441288049
895	0.3440683999
896	0.3440169712
897	0.343968371
898	0.3439058987
899	0.3438396111
900	0.3437807863
901	0.3436982485
902	0.3436285363
903	0.34358359
904	0.3435224506
905	0.343482439
906	0.343410063
907	0.3433698434
908	0.3433139285
909	0.3432495682
910	0.3431873277
911	0.3431218986
912	0.3430794858
913	0.3430124467
914	0.3429697344
915	0.3429090406
916	0.3428588842
917	0.3427929328
918	0.3427304974
919	0.342678175
920	0.3426339411
921	0.342572702
922	0.342513616
923	0.3424624105
924	0.3424010639
925	0.3423157061
926	0.3422322734
927	0.3421831075
928	0.3421075344
929	0.3420719921
930	0.3420177077
931	0.3419742747
932	0.3419319056
933	0.3418732886
934	0.3418176233
935	0.3417539406
936	0.3417198351
937	0.3416639984
938	0.3416230582
939	0.341551278
940	0.3415034543
